City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la romana,18.4273,-68.9728,31.2,79,40,4.12,DO,1686264191
1,west island,-12.1568,96.8225,25.99,83,75,9.26,CC,1686264191
2,dudinka,69.4058,86.1778,6.52,57,96,6.74,RU,1686264192
3,antonio enes,-16.2325,39.9086,23.38,79,0,2.43,MZ,1686264192
4,port mathurin,-19.6833,63.4167,24.72,72,5,8.02,MU,1686264192
5,praia da vitoria,38.7333,-27.0667,19.14,82,40,4.68,PT,1686264192
6,st. john's,47.5649,-52.7093,13.66,94,75,4.12,CA,1686264022
7,mount isa,-20.7333,139.5,15.87,51,42,6.17,AU,1686264192
8,bukama,-9.2,25.85,21.82,52,35,0.84,CD,1686264192
9,ponta grossa,-25.095,-50.1619,13.27,67,50,1.58,BR,1686264192
10,stanley,54.868,-1.6985,10.39,78,75,3.09,GB,1686264193
11,nguekhokh,14.5128,-17.005,25.49,88,20,6.69,SN,1686264193
12,natal,-5.795,-35.2094,26.12,89,20,3.09,BR,1686264193
13,ust'-ilimsk,58.0006,102.6619,18.29,82,59,1.94,RU,1686264193
14,adamstown,-25.066,-130.1015,21.76,61,1,6.58,PN,1686264193
15,luganville,-15.5333,167.1667,24.8,70,67,4.65,VU,1686264193
16,port-aux-francais,-49.35,70.2167,5.09,75,80,7.97,TF,1686264194
17,yellowknife,62.456,-114.3525,14.2,71,100,1.54,CA,1686264194
18,namtsy,62.7161,129.6658,11.06,91,100,2.4,RU,1686264194
19,blackmans bay,-43.0167,147.3167,8.18,75,74,4.16,AU,1686264194
20,papatowai,-46.5619,169.4708,6.72,81,12,2.05,NZ,1686264194
21,utrik,11.2278,169.8474,27.53,81,96,9.18,MH,1686264194
22,san carlos del zulia,9.0,-71.9135,25.81,87,52,3.43,VE,1686264194
23,lihue,21.9789,-159.3672,28.58,69,40,4.63,US,1686264194
24,kalmunai,7.4167,81.8167,26.66,81,89,2.22,LK,1686264195
25,loango,-4.6719,11.8312,24.81,83,75,2.06,CG,1686264195
26,broome,42.2506,-75.833,14.83,79,100,3.09,US,1686264195
27,crane,31.3974,-102.3501,34.21,14,5,1.15,US,1686264195
28,tralee,52.2704,-9.7026,15.72,76,96,4.9,IE,1686264195
29,waitangi,-43.9535,-176.5597,9.9,79,59,0.45,NZ,1686264195
30,bethel,41.3712,-73.414,18.53,63,86,0.89,US,1686264195
31,iqaluit,63.7506,-68.5145,4.85,75,75,0.0,CA,1686264195
32,escarcega,18.6089,-90.7454,35.04,40,22,4.18,MX,1686263913
33,hawaiian paradise park,19.5933,-154.9731,28.18,70,100,3.6,US,1686264196
34,chipinge,-20.1883,32.6236,15.07,51,0,1.76,ZW,1686264196
35,kimbe,-5.5502,150.1429,28.45,74,95,2.16,PG,1686264196
36,taltal,-25.4,-70.4833,16.81,82,31,1.12,CL,1686264196
37,nagqu,31.5,92.0,4.32,75,85,1.81,CN,1686264196
38,aykhal,66.0,111.5,12.8,60,98,7.72,RU,1686264196
39,grytviken,-54.2811,-36.5092,1.86,84,98,2.6,GS,1686264196
40,ushuaia,-54.8,-68.3,-0.19,74,0,2.57,AR,1686264196
41,puerto natales,-51.7236,-72.4875,0.01,87,9,2.14,CL,1686264197
42,albany,42.6001,-73.9662,16.99,71,87,2.01,US,1686264197
43,papao,-17.75,-149.55,29.82,68,33,9.01,PF,1686264197
44,bijar,35.8668,47.6051,11.42,78,12,1.92,IR,1686264197
45,lagoa,39.05,-27.9833,17.53,78,91,5.58,PT,1686264197
46,remire-montjoly,4.9167,-52.2667,25.02,88,100,2.06,GF,1686264197
47,vila velha,-20.3297,-40.2925,21.64,86,20,1.03,BR,1686263930
48,daru,-9.0763,143.2092,25.52,80,100,6.24,PG,1686264197
49,ribeira grande,38.5167,-28.7,18.21,81,100,0.89,PT,1686264198
50,invercargill,-46.4,168.35,4.12,82,6,1.59,NZ,1686264198
51,khanty-mansiysk,61.0042,69.0019,7.06,100,0,0.0,RU,1686264198
52,tiksi,71.6872,128.8694,9.54,66,36,5.11,RU,1686264198
53,isafjordur,66.0755,-23.124,8.35,90,100,5.74,IS,1686264198
54,codrington,-38.2667,141.9667,10.1,67,63,6.91,AU,1686264198
55,qaqortoq,60.7167,-46.0333,3.4,74,51,2.94,GL,1686264198
56,edinburgh of the seven seas,-37.0676,-12.3116,14.62,73,49,11.67,SH,1686264198
57,mahenge,-8.6833,36.7167,16.27,96,72,0.65,TZ,1686264199
58,hammerfest,70.6634,23.6821,4.25,81,75,4.12,NO,1686264149
59,dwarka,22.2394,68.9678,28.27,83,54,6.29,IN,1686264199
60,avarua,-21.2078,-159.775,27.03,69,20,5.66,CK,1686264024
61,longboat key,27.4125,-82.659,30.14,50,0,3.09,US,1686264199
62,gromitz,54.15,10.9667,12.08,72,30,2.63,DE,1686264199
